"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1994","-83.125","42.306999206543","177","1.57900000000001","-3.66899999999998","2.507973012","6.99215508160874","0.918517178394294","1.85546196",
"1/2/1994","-83.125","42.306999206543","177","-0.77800000000002","-7.78199999999998","0.4566191184","4.08492039897275","0.863270831702692","6.00148116",
"1/3/1994","-83.125","42.306999206543","177","-4.57799999999997","-9.23700000000002","0.2025604296","5.07057220102421","0.879984025571556","5.9860674",
"1/4/1994","-83.125","42.306999206543","177","-3.61399999999998","-6.72199999999998","0.679778928","7.0931673666509","0.856682766578559","5.488987968",
"1/5/1994","-83.125","42.306999206543","177","-4.55099999999999","-11.524","0.4978178208","4.87565647589243","0.765430357725377","8.07811812",
"1/6/1994","-83.125","42.306999206543","177","-4.06400000000002","-9.58499999999998","15.04097064","5.83471801180953","0.934529559898964","1.724006808",
"1/7/1994","-83.125","42.306999206543","177","-7.26499999999999","-10.128","1.601600868","3.80725253622243","0.898649299174335","5.011986672",
"1/8/1994","-83.125","42.306999206543","177","-7.59699999999998","-15.976","1.520920116","6.96335590968412","0.850598972731497","7.15122864",
"1/9/1994","-83.125","42.306999206543","177","-7.49599999999998","-13.734","0.3433229496","4.0417983552046","0.883388255989328","7.89017976",
"1/10/1994","-83.125","42.306999206543","177","-3.21699999999998","-13.803","0.94413816","4.54316036243535","0.8835209979435","5.9538384",
"1/11/1994","-83.125","42.306999206543","177","0.995999999999981","-2.70800000000003","2.540587788","4.58754422611892","0.953872827120674","3.97602864",
"1/12/1994","-83.125","42.306999206543","177","0.0430000000000064","-7.74900000000002","0.6420136608","3.49293487253482","0.932070540383755","4.87051596",
"1/13/1994","-83.125","42.306999206543","177","-0.725999999999999","-6.988","2.231597664","3.38869346821533","0.90683529922629","5.28390108",
"1/14/1994","-83.125","42.306999206543","177","-7.71100000000001","-16.783","0.765610092","5.80716207190812","0.791708431885907","9.56368188",
"1/15/1994","-83.125","42.306999206543","177","-16.499","-19.727","0.2712248928","5.12842218176362","0.732695470521815","9.71397684",
"1/16/1994","-83.125","42.306999206543","177","-12.93","-23.141","5.458829832","5.8610274766642","0.789443325616102","4.96822428",
"1/17/1994","-83.125","42.306999206543","177","-8.68400000000003","-17.108","5.046846012","6.0079037740665","0.869965868069779","6.904629072",
"1/18/1994","-83.125","42.306999206543","177","-17.423","-22.03","0.796508136","6.48923408383584","0.715176824405645","7.384842",
