"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1994","113.125","23.2609996795654","5","22.385","10.692","0","1.57942704127745","0.470613822941929","15.7378536",
"1/2/1994","113.125","23.2609996795654","5","19.024","10.3","0.2403261072","1.56275077065814","0.768300859130174","6.32261376",
"1/3/1994","113.125","23.2609996795654","5","22.445","15.595","1.023101496","1.08860243687614","0.846930620343019","6.42498885",
"1/4/1994","113.125","23.2609996795654","5","24.72","16.465","0.463485744","1.27070279126626","0.761719366947136","4.57571169",
"1/5/1994","113.125","23.2609996795654","5","21.916","15.371","0.652313196","1.17360751462655","0.805853443779592","3.75395751",
"1/6/1994","113.125","23.2609996795654","5","26.831","14.112","0","1.96321498015342","0.692502724978958","15.3079893",
"1/7/1994","113.125","23.2609996795654","5","25.218","13.232","0","2.32777042214214","0.624094280936778","16.913650968",
"1/8/1994","113.125","23.2609996795654","5","22.207","13.53","0","1.99289115216833","0.6137188324603","8.87777082",
"1/9/1994","113.125","23.2609996795654","5","28.692","11.257","0","1.72463528133345","0.613731359926651","17.2425375",
"1/10/1994","113.125","23.2609996795654","5","26.839","17.457","0.7450109208","1.49648324471405","0.748601360316541","10.1580174",
"1/11/1994","113.125","23.2609996795654","5","18.862","15.352","2.276230104","1.47945871665129","0.812025502768849","1.92779973",
"1/12/1994","113.125","23.2609996795654","5","27.114","16.902","0.830841084","2.21128623801063","0.717689888808848","11.28172815",
"1/13/1994","113.125","23.2609996795654","5","18.234","12.306","1.181029356","4.15123363449625","0.651398978079124","2.98952109",
"1/14/1994","113.125","23.2609996795654","5","14.004","10.802","0.2609252136","2.69659854514178","0.573399273825662","5.63838318",
"1/15/1994","113.125","23.2609996795654","5","12.79","10.456","5.867388","1.75709540685563","0.777904143485218","1.3436991",
"1/16/1994","113.125","23.2609996795654","5","20.551","12.908","6.33430188","1.78935435536095","0.881919434851141","2.11854357",
"1/17/1994","113.125","23.2609996795654","5","25.892","17.022","0.1373291136","1.31206843698745","0.823316098287045","6.202349928",
"1/18/1994","113.125","23.2609996795654","5","17.676","9.02499999999998","0.738143316","4.57604430158812","0.691881292669889","2.95194321",
"1/19/1994","113.125","23.2609996795654","5","8.87","7.18599999999998","1.455688764","3.56400299933622","0.708542312624596","2.58946866",
"1/20/1994","113.125","23.2609996795654","5","7.358","5.09899999999999","4.6691892","4.25511152301177","0.763646143863613","1.32013116",
"1/21/1994","113.125","23.2609996795654","5","14.128","3.49200000000002","0.106430148","3.97593414610831","0.488386277243344","18.1464687",
"1/22/1994","113.125","23.2609996795654","5","15.262","6.87","0","3.27562197136302","0.346372061994146","13.9349196",
"1/23/1994","113.125","23.2609996795654","5","17.82","2.93000000000001","0","2.75576602177925","0.459178147080119","19.367885232",
"1/24/1994","113.125","23.2609996795654","5","18.918","5.48700000000002","0","2.2385358386588","0.397859829492596","14.416933752",
"1/25/1994","113.125","23.2609996795654","5","22.786","7.101","0","1.55416716365342","0.483788747943032","19.228390632",
"1/26/1994","113.125","23.2609996795654","5","23.741","7.79199999999997","0","2.26649317425929","0.514421729422026","19.282891032",
"1/27/1994","113.125","23.2609996795654","5","21.152","8.654","0","2.91120410802329","0.457432841321551","19.420026768",
"1/28/1994","113.125","23.2609996795654","5","23.017","7.77199999999999","0","2.46858351142283","0.407150566955653","18.857075832",
