Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar,
1/1/1994,94.0625,40.7458992004395,1522,-2.73599999999999,-11.086,0,1.35778068350787,0.720598231723734,8.493129,-6.911
1/2/1994,94.0625,40.7458992004395,1522,-2.26900000000001,-11.015,0,3.18996205503219,0.683301510544152,8.71103682,-6.64200000000001
1/3/1994,94.0625,40.7458992004395,1522,-2.19999999999999,-9.04199999999997,0.0343322784,2.26577982853326,0.571532548591381,7.84339182,-5.62099999999998
1/4/1994,94.0625,40.7458992004395,1522,-3.30099999999999,-12.227,0,1.86655334028748,0.710632651343888,8.26577298,-7.764
1/5/1994,94.0625,40.7458992004395,1522,-4.40499999999997,-14.022,0,1.77502382471231,0.773560052965115,8.9479611,-9.21349999999999
1/6/1994,94.0625,40.7458992004395,1522,-4.06999999999999,-13.81,0,1.65132043340465,0.730572450278432,8.9827875,-8.93999999999999
1/7/1994,94.0625,40.7458992004395,1522,-2.87900000000002,-13.808,0,1.50600094010725,0.608892316644956,9.2230308,-8.34350000000001
1/8/1994,94.0625,40.7458992004395,1522,-2.618,-13.463,0,1.9758777521135,0.567687285495387,9.36691992,-8.0405
1/9/1994,94.0625,40.7458992004395,1522,-3.09800000000001,-10.807,0.1750945752,2.47581752783454,0.762723123899024,6.78903768,-6.95250000000001
1/10/1994,94.0625,40.7458992004395,1522,0.87299999999999,-8.47699999999998,0,4.50630878152082,0.668187894776854,9.038925,-3.80199999999999
1/11/1994,94.0625,40.7458992004395,1522,-3.29599999999999,-8.44299999999998,0.168228144,2.12283212757564,0.595987388748111,6.29387334,-5.86949999999999
1/12/1994,94.0625,40.7458992004395,1522,-2.54399999999998,-9.947,0.1201629888,1.75302541066532,0.82539807342665,9.42102792,-6.24549999999999
1/13/1994,94.0625,40.7458992004395,1522,-5.01499999999999,-14.75,0,1.06748308555056,0.855995992338197,9.85623768,-9.8825
1/14/1994,94.0625,40.7458992004395,1522,-2.94299999999998,-15.223,0,1.1886806697033,0.69126669841655,9.75430908,-9.08299999999999
1/15/1994,94.0625,40.7458992004395,1522,-7.90899999999999,-16.211,0.36735534,4.87665050664346,0.682332016299354,7.43883948,-12.06
1/16/1994,94.0625,40.7458992004395,1522,-12.816,-22.051,0,1.61045480002624,0.47804504831115,10.46243988,-17.4335
1/17/1994,94.0625,40.7458992004395,1522,-11.623,-20.521,0,2.86874723054054,0.554463605762534,10.4636772,-16.072
1/18/1994,94.0625,40.7458992004395,1522,-10.452,-18.047,0,3.70741959231527,0.491865527977187,10.46851848,-14.2495
1/19/1994,94.0625,40.7458992004395,1522,-9.92399999999998,-18.284,0,2.41616220312139,0.532581222880745,9.82440072,-14.104
1/20/1994,94.0625,40.7458992004395,1522,-9.81,-16.953,0,4.03115298638638,0.550780247901395,10.58585616,-13.3815
1/21/1994,94.0625,40.7458992004395,1522,-9.16899999999998,-18.935,0,1.76819590143142,0.534191838690967,10.6948134,-14.052
1/22/1994,94.0625,40.7458992004395,1522,-8.29700000000003,-18.466,0,1.43459344505953,0.560211155268658,10.8141696,-13.3815
1/23/1994,94.0625,40.7458992004395,1522,-5.86599999999999,-16.655,0,2.4540037779292,0.511463040374945,11.0397942,-11.2605
1/24/1994,94.0625,40.7458992004395,1522,-4.46499999999998,-16.234,0,1.70261661936083,0.492701044819934,10.41653448,-10.3495
1/25/1994,94.0625,40.7458992004395,1522,-3.28899999999999,-13.098,0,3.65324245621559,0.54093131611675,8.58183768,-8.1935
1/26/1994,94.0625,40.7458992004395,1522,-5.06599999999997,-12.455,0,2.48926994348119,0.457857669357945,11.22496308,-8.76049999999998
1/27/1994,94.0625,40.7458992004395,1522,-0.517999999999972,-9.029,0,6.16011128810383,0.486938376803034,11.2984848,-4.77349999999999
1/28/1994,94.0625,40.7458992004395,1522,-3.44299999999998,-10.31,0,2.26658761226786,0.432122169514342,9.73041048,-6.87649999999999
1/29/1994,94.0625,40.7458992004395,1522,-4.17899999999997,-14.48,0,1.90887861186484,0.453724519447434,10.35343512,-9.32949999999999
1/30/1994,94.0625,40.7458992004395,1522,-3.15100000000001,-10.634,0.1991272392,1.56407423493533,0.779398854149482,9.46850832,-6.89250000000001
1/31/1994,94.0625,40.7458992004395,1522,-1.71499999999997,-9.90199999999999,0.072097776,3.20872022084157,0.829833107666046,11.77116012,-5.80849999999998
2/1/1994,94.0625,40.7458992004395,1522,-1.57499999999999,-9.60399999999999,0,4.05743146003158,0.725198043916292,12.00582792,-5.58949999999999
2/2/1994,94.0625,40.7458992004395,1522,0.119000000000028,-9.53399999999999,0,4.58555903202321,0.604679827848904,10.0278612,-4.70749999999998
2/3/1994,94.0625,40.7458992004395,1522,0.601999999999975,-12.258,0,1.63005346454926,0.593982829112571,12.377196,-5.82800000000001
2/4/1994,94.0625,40.7458992004395,1522,2.34699999999998,-8.17500000000001,0,3.71453308471002,0.440531779173664,12.470688,-2.91400000000001
2/5/1994,94.0625,40.7458992004395,1522,5.87700000000001,-5.47800000000001,0,7.01602472724258,0.280142601521981,12.93007608,0.1995
2/6/1994,94.0625,40.7458992004395,1522,0.658999999999992,-9.48899999999998,0.0034332264,4.37323234166021,0.369890211754924,11.8513116,-4.41499999999999
2/7/1994,94.0625,40.7458992004395,1522,3.01299999999998,-10.2,0,3.3123121290195,0.524984493310047,12.95943768,-3.59350000000001
2/8/1994,94.0625,40.7458992004395,1522,5.279,-5.21899999999999,0,6.33523133725701,0.23522633698677,12.6408924,0.030000000000005
2/9/1994,94.0625,40.7458992004395,1522,1.22699999999998,-6.892,0,3.65418679529365,0.349865065408567,11.76182082,-2.83250000000001
2/10/1994,94.0625,40.7458992004395,1522,4.40100000000001,-7.49000000000001,0,4.78300328411328,0.355584985280946,13.52194272,-1.5445
2/11/1994,94.0625,40.7458992004395,1522,2.279,-7.16199999999998,0,3.65922660417127,0.356237489779086,11.12315958,-2.44149999999999
2/12/1994,94.0625,40.7458992004395,1522,-0.351999999999975,-8.98700000000002,0,3.19877665235688,0.297924063517299,13.13038278,-4.6695
2/13/1994,94.0625,40.7458992004395,1522,1.21800000000002,-10.77,0.0068664528,1.35456401256652,0.519455521119285,12.66474708,-4.77599999999999
2/14/1994,94.0625,40.7458992004395,1522,3.79700000000003,-7.524,0,3.43611033524534,0.426584807251445,14.35437468,-1.86349999999999
2/15/1994,94.0625,40.7458992004395,1522,3.02600000000001,-8.78100000000001,0,1.76727024463221,0.448936458056556,14.0177223,-2.8775
2/16/1994,94.0625,40.7458992004395,1522,6.47699999999998,-6.815,0,4.7327797660768,0.228697885272242,14.7269286,-0.16900000000001
2/17/1994,94.0625,40.7458992004395,1522,4.245,-7.142,0,2.08836485526978,0.318177718516328,13.3089768,-1.4485
2/18/1994,94.0625,40.7458992004395,1522,4.55200000000002,-8.86500000000001,0,2.53006213361241,0.302860982416842,14.41417482,-2.15649999999999
2/19/1994,94.0625,40.7458992004395,1522,-1.61200000000002,-8.81,0.789642864,4.43514496466792,0.627871429506296,14.3040366,-5.21100000000001
2/20/1994,94.0625,40.7458992004395,1522,4.10700000000003,-9.012,0,3.26296541476444,0.423107691590507,15.4643661,-2.45249999999998
2/21/1994,94.0625,40.7458992004395,1522,-0.918000000000006,-10.083,0,4.08165762646384,0.339380809745992,11.94328242,-5.5005
2/22/1994,94.0625,40.7458992004395,1522,-0.668999999999983,-8.05000000000001,0,3.63765958179222,0.239892425727461,12.33062118,-4.3595
2/23/1994,94.0625,40.7458992004395,1522,3.80599999999998,-8.59500000000003,0,2.80767358120193,0.359849187785601,15.42768822,-2.39450000000003
2/24/1994,94.0625,40.7458992004395,1522,6.46600000000001,-5.37200000000001,0,3.0609029226836,0.459576822530289,14.89077882,0.547
2/25/1994,94.0625,40.7458992004395,1522,-0.113999999999976,-7.28199999999998,0.2300263632,4.20197439055172,0.434457354155228,14.66915382,-3.69799999999998
2/26/1994,94.0625,40.7458992004395,1522,1.113,-9.86599999999999,0,3.46679995984337,0.249325984262451,16.79017554,-4.3765
2/27/1994,94.0625,40.7458992004395,1522,1.34199999999998,-10.027,0,6.36030636933816,0.259873914561214,16.25759748,-4.34250000000001
2/28/1994,94.0625,40.7458992004395,1522,1.233,-9.44400000000002,0,4.03912184078055,0.237033996851086,16.816896,-4.10550000000001
3/1/1994,94.0625,40.7458992004395,1522,3.92099999999999,-4.38099999999997,0.0240325992,3.36699044664076,0.264310061485646,15.46925238,-0.22999999999999
3/2/1994,94.0625,40.7458992004395,1522,6.48399999999998,-7.21699999999998,0,2.84350121295629,0.274452687923624,14.9369652,-0.3665
3/3/1994,94.0625,40.7458992004395,1522,8.30900000000003,-4.399,0,3.06016290490313,0.277500049734812,17.9184348,1.95500000000001
3/4/1994,94.0625,40.7458992004395,1522,7.85599999999999,-1.334,0,3.83042981550016,0.191209507102436,12.18588372,3.26099999999999
3/5/1994,94.0625,40.7458992004395,1522,5.79700000000003,-3.54300000000001,0.0446319864,3.51591476118886,0.446279727575268,15.65730072,1.12700000000001
3/6/1994,94.0625,40.7458992004395,1522,-0.692999999999984,-5.85599999999999,0.0823974552,6.04392222268945,0.329822255148263,14.50378656,-3.27449999999999
3/7/1994,94.0625,40.7458992004395,1522,0.192999999999984,-8.27999999999997,0.02746584,4.29162994949542,0.165772920129642,17.559108,-4.04349999999999
3/8/1994,94.0625,40.7458992004395,1522,1.14999999999998,-9.779,0,3.24434400131763,0.150435803921936,18.10152792,-4.31450000000001
3/9/1994,94.0625,40.7458992004395,1522,5.83499999999998,-7.048,0.0377655264,5.3149144251933,0.245772041755056,18.47722104,-0.60650000000001
3/10/1994,94.0625,40.7458992004395,1522,5.85399999999999,-3.52499999999998,0.0995635728,2.36009701086554,0.277977034508452,12.79366704,1.16450000000001
3/11/1994,94.0625,40.7458992004395,1522,0.959000000000003,-4.565,5.891418,3.76201578316337,0.734408338763078,11.35907172,-1.803
